Month,Year,Country,Departures,Arrivals,Total Holidays,Inflation,Month_sin,Month_cos,Total_Traffic
1,2000,United Kingdom,46677.0,45630.0,1.015023004629879,-0.6008461718884577,0.49999999999999994,0.8660254037844387,92307.0
1,2000,Germany,23172.0,24251.0,1.015023004629879,-0.4072172264677109,0.49999999999999994,0.8660254037844387,47423.0
1,2000,France,11098.0,11469.0,1.015023004629879,-0.2781312628538797,0.49999999999999994,0.8660254037844387,22567.0
1,2000,Europe,118255.0,119735.0,1.015023004629879,-0.2781312628538797,0.49999999999999994,0.8660254037844387,237990.0
1,2000,Oceania,139244.0,133358.0,1.015023004629879,-0.2781312628538797,0.49999999999999994,0.8660254037844387,272602.0
1,2000,Middle East,11247.0,10883.0,1.015023004629879,-0.2781312628538797,0.49999999999999994,0.8660254037844387,22130.0
1,2000,South Asia,74515.0,82624.0,1.015023004629879,-0.2781312628538797,0.49999999999999994,0.8660254037844387,157139.0
1,2000,Japan,81335.0,86339.0,1.015023004629879,-1.0849185354403246,0.49999999999999994,0.8660254037844387,167674.0
1,2000,Hong Kong,59262.0,69711.0,1.015023004629879,-1.0849185354403246,0.49999999999999994,0.8660254037844387,128973.0
1,2000,Mainland China,32425.0,34013.0,1.015023004629879,-1.0849185354403246,0.49999999999999994,0.8660254037844387,66438.0
1,2000,North East Asia,228580.0,245586.0,1.015023004629879,-1.0849185354403246,0.49999999999999994,0.8660254037844387,474166.0
1,2000,Vietnam,16001.0,10885.0,1.015023004629879,-1.4399049353783602,0.49999999999999994,0.8660254037844387,26886.0
1,2000,Thailand,93706.0,111636.0,1.015023004629879,-0.3104027537573375,0.49999999999999994,0.8660254037844387,205342.0
1,2000,Philippines,26012.0,35228.0,1.015023004629879,1.2386288096086366,0.49999999999999994,0.8660254037844387,61240.0
1,2000,Malaysia,119796.0,121018.0,1.015023004629879,-0.34267424466079527,0.49999999999999994,0.8660254037844387,240814.0
1,2000,Indonesia,138476.0,120322.0,1.015023004629879,0.33502706431181845,0.49999999999999994,0.8660254037844387,258798.0
1,2000,South East Asia,410632.0,413450.0,1.015023004629879,0.33502706431181845,0.49999999999999994,0.8660254037844387,824082.0
2,2000,North East Asia,268347.0,262736.0,1.015023004629879,0.33502706431181845,0.8660254037844386,0.5000000000000001,531083.0
2,2000,Vietnam,13728.0,15578.0,1.015023004629879,-1.4399049353783602,0.8660254037844386,0.5000000000000001,29306.0
2,2000,Thailand,103202.0,112799.0,1.015023004629879,-0.3104027537573375,0.8660254037844386,0.5000000000000001,216001.0
2,2000,Philippines,27399.0,28769.0,1.015023004629879,1.2386288096086366,0.8660254037844386,0.5000000000000001,56168.0
2,2000,Malaysia,126123.0,140873.0,1.015023004629879,-0.34267424466079527,0.8660254037844386,0.5000000000000001,266996.0
