Country,Arrivals,Departures,No of holidays,Year,Month,Cluster
United Kingdom,63883,59844,2,2023,12,0
France,25892,23670,1,2023,12,0
Japan,158070,158438,1,2023,12,0
Hong Kong,110292,112413,2,2023,12,0
Mainland China,265540,271750,0,2023,12,0
Vietnam,112292,114660,0,2023,12,0
Thailand,234375,243950,5,2023,12,0
Philippines,118907,147852,6,2023,12,0
Malaysia,321354,309565,1,2023,12,0
Indonesia,320717,295598,2,2023,12,0
United Kingdom,54274,53430,0,2023,11,0
Germany,36523,35994,0,2023,11,0
France,24260,22408,2,2023,11,0
Japan,147313,150729,2,2023,11,0
Hong Kong,85882,93838,0,2023,11,0
Mainland China,190153,206778,0,2023,11,0
Vietnam,99028,103383,0,2023,11,0
Thailand,218773,234213,0,2023,11,0
Philippines,113793,128161,3,2023,11,0
Malaysia,269785,270932,1,2023,11,0
Indonesia,286363,278285,0,2023,11,0
United Kingdom,65715,51708,0,2023,10,0
Germany,42852,37103,1,2023,10,0
France,28918,23806,0,2023,10,0
Japan,131578,134891,1,2023,10,0
Hong Kong,81671,91481,3,2023,10,0
Mainland China,205807,224456,6,2023,10,0
Vietnam,99917,95429,0,2023,10,0
Thailand,222667,221225,2,2023,10,0
Philippines,109914,100964,1,2023,10,0
Germany,38513,35955,2,2023,12,0
Malaysia,272799,248722,0,2023,10,0
Germany,44055,37640,2,2024,12,0
Malaysia,294533,277645,1,2024,10,0
France,22678,20721,1,2024,12,0
Japan,183767,184868,1,2024,12,0
Hong Kong,114321,117393,2,2024,12,0
Mainland China,361183,370922,0,2024,12,0
Vietnam,105848,110293,0,2024,12,0
Thailand,279506,294105,4,2024,12,0
Philippines,123812,155269,5,2024,12,0
Malaysia,337008,323182,1,2024,12,0
Indonesia,341960,311140,2,2024,12,0
United Kingdom,62824,62678,0,2024,11,0
Germany,40337,40496,0,2024,11,0
France,22629,23038,2,2024,11,0
Japan,160275,164753,3,2024,11,0
Hong Kong,104845,108816,0,2024,11,0
Mainland China,303665,310214,0,2024,11,0
Vietnam,98116,99247,0,2024,11,0
Thailand,254727,262393,0,2024,11,0
Philippines,124727,132282,3,2024,11,0
Malaysia,294907,283893,0,2024,11,0
Indonesia,296314,279388,0,2024,11,0
United Kingdom,74168,56957,0,2024,10,0
Germany,46925,38493,1,2024,10,0
France,28054,24341,0,2024,10,0
Japan,157862,166854,1,2024,10,0
Hong Kong,90911,110736,2,2024,10,0
Mainland China,315351,354325,7,2024,10,0
Vietnam,92505,94470,0,2024,10,0
Thailand,227143,240145,2,2024,10,0
Philippines,117373,112951,0,2024,10,0
Indonesia,305697,296812,0,2024,10,0
Indonesia,312292,293584,0,2023,10,0
United Kingdom,73704,64337,2,2024,12,0
United Kingdom,59507,62452,1,2024,3,1
Germany,39368,41993,1,2024,3,1
Indonesia,304889,305947,6,2024,4,1
Malaysia,292736,256967,2,2024,4,1
Philippines,116665,119414,2,2024,4,1
Thailand,235029,224240,6,2024,4,1
Vietnam,100406,88687,3,2024,4,1
Mainland China,307829,283889,3,2024,4,1
Hong Kong,95685,94171,2,2024,4,1
Japan,149604,134794,1,2024,4,1
France,24537,26768,1,2024,4,1
Germany,38283,47381,1,2024,4,1
United Kingdom,51949,70156,0,2024,4,1
Indonesia,315076,304347,5,2024,5,1
Malaysia,292170,280455,2,2024,5,1
Philippines,121360,125442,1,2024,5,1
France,21926,24462,0,2024,3,1
Thailand,222001,224744,4,2024,5,1
Japan,148746,160871,1,2024,3,1
Mainland China,324409,330380,0,2024,3,1
Malaysia,294434,273053,3,2024,2,1
Philippines,123896,116456,2,2024,2,1
Thailand,238636,231796,1,2024,2,1
Vietnam,93909,97902,7,2024,2,1
Mainland China,324056,342416,8,2024,2,1
Hong Kong,85465,97038,3,2024,2,1
Japan,133502,132788,3,2024,2,1
France,22125,21397,0,2024,2,1
Germany,38600,38036,0,2024,2,1
United Kingdom,55732,55856,0,2024,2,1
Indonesia,295673,297830,4,2024,3,1
Malaysia,296535,295187,0,2024,3,1
Philippines,138363,144936,3,2024,3,1
Thailand,264799,256193,0,2024,3,1
Vietnam,113009,106501,0,2024,3,1
Hong Kong,101577,101369,2,2024,3,1
Vietnam,96072,94314,1,2024,5,1
Mainland China,284250,327809,5,2024,5,1
Hong Kong,83052,92920,2,2024,5,1
Vietnam,102251,85879,0,2023,2,1
Thailand,196200,196873,0,2023,2,1
Philippines,108926,103708,1,2023,2,1
Malaysia,235207,195403,0,2023,2,1
Indonesia,215290,221396,1,2023,2,1
United Kingdom,58315,53678,2,2023,1,1
Germany,46651,43930,1,2023,1,1
France,23143,20474,1,2023,1,1
Japan,110117,93387,6,2023,1,1
Hong Kong,56563,55876,6,2023,1,1
Mainland China,36744,31925,9,2023,1,1
Vietnam,103236,102736,9,2023,1,1
Thailand,218226,195388,2,2023,1,1
Philippines,135480,110515,2,2023,1,1
Malaysia,250687,232232,2,2023,1,1
Mainland China,50983,39762,0,2023,2,1
Hong Kong,59409,64846,0,2023,2,1
Japan,101878,99646,2,2023,2,1
France,19287,18716,0,2023,2,1
Japan,140060,149748,4,2024,5,1
France,22187,26116,4,2024,5,1
Germany,37376,47182,3,2024,5,1
United Kingdom,54799,70077,2,2024,5,1
Germany,41603,48554,0,2023,3,1
France,19812,22848,0,2023,3,1
Japan,115050,129542,1,2023,3,1
Indonesia,283447,279107,4,2024,2,1
Hong Kong,73512,72582,0,2023,3,1
Vietnam,110179,99121,0,2023,3,1
Thailand,228228,217201,1,2023,3,1
Philippines,118229,113075,0,2023,3,1
Malaysia,258302,257769,0,2023,3,1
Indonesia,253733,258118,2,2023,3,1
United Kingdom,49882,50882,0,2023,2,1
Germany,40824,42254,0,2023,2,1
Mainland China,90156,87393,0,2023,3,1
United Kingdom,60395,57803,1,2024,1,1
Indonesia,237294,236894,3,2023,1,1
France,25321,22116,1,2024,1,1
Germany,39980,38031,1,2024,1,1
United Kingdom,50777,63065,3,2023,5,1
Germany,37987,44171,3,2023,5,1
France,20845,23328,4,2023,5,1
Japan,115040,118111,3,2023,5,1
Hong Kong,75345,81104,2,2023,5,1
Mainland China,132574,156623,3,2023,5,1
Thailand,201556,205833,4,2023,5,1
Philippines,123290,119130,1,2023,5,1
Malaysia,256899,249761,2,2023,5,1
Indonesia,295364,297376,2,2023,5,1
United Kingdom,49612,62538,1,2023,4,1
Germany,37972,47226,2,2023,4,1
France,20337,22681,1,2023,4,1
Japan,117712,113762,1,2023,4,1
Vietnam,102932,102171,3,2023,5,1
Mainland China,126550,117920,3,2023,4,1
Japan,143597,123860,5,2024,1,1
Hong Kong,76541,76242,4,2023,4,1
Hong Kong,97242,85169,1,2024,1,1
Mainland China,301732,222956,1,2024,1,1
Vietnam,101950,91137,1,2024,1,1
Thailand,241208,215777,1,2024,1,1
Malaysia,282679,252721,0,2024,1,1
Philippines,147579,121529,1,2024,1,1
United Kingdom,55242,62851,0,2023,3,1
Indonesia,262495,254622,8,2023,4,1
Malaysia,261045,231352,3,2023,4,1
Philippines,115838,115894,5,2023,4,1
Thailand,208237,205921,3,2023,4,1
Vietnam,105687,96153,0,2023,4,1
Indonesia,307312,297301,1,2024,1,1
Thailand,197101,198631,0,2023,9,2
France,25359,26999,0,2023,9,2
Philippines,105834,100770,0,2023,9,2
Vietnam,93035,93052,4,2023,9,2
Mainland China,210215,190568,2,2023,9,2
Hong Kong,80709,76001,1,2023,9,2
Japan,108057,119603,2,2023,9,2
Germany,40042,41477,0,2023,9,2
Thailand,212885,201734,0,2024,9,2
Germany,25495,25717,0,2024,9,2
France,43965,45284,0,2024,9,2
Japan,136102,148473,3,2024,9,2
Hong Kong,94312,87019,1,2024,9,2
Mainland China,319703,294733,3,2024,9,2
Vietnam,89246,88180,3,2024,9,2
Philippines,108697,106058,0,2024,9,2
Malaysia,266606,257482,2,2023,9,2
Malaysia,307150,278352,2,2024,9,2
United Kingdom,71966,73713,0,2024,9,2
Indonesia,309171,288413,1,2023,9,2
Hong Kong,78733,70789,1,2023,7,2
Germany,42183,45140,0,2023,8,2
Malaysia,283944,261080,1,2023,7,2
Philippines,134631,129698,0,2023,7,2
Thailand,227415,204317,2,2023,7,2
Vietnam,117479,103139,0,2023,7,2
Mainland China,263392,211875,0,2023,7,2
Indonesia,309639,291753,1,2024,9,2
Japan,117761,99008,1,2023,7,2
France,28309,25798,1,2023,7,2
Germany,47008,41749,0,2023,7,2
United Kingdom,71819,66770,0,2023,7,2
Indonesia,316308,296230,1,2023,8,2
Malaysia,278475,251852,1,2023,8,2
Philippines,120166,115602,2,2023,8,2
Thailand,206186,207933,2,2023,8,2
Vietnam,112809,98781,0,2023,8,2
Mainland China,243441,266785,0,2023,8,2
Hong Kong,74061,81706,0,2023,8,2
Japan,116038,116749,1,2023,8,2
France,26669,27662,1,2023,8,2
United Kingdom,61509,64656,0,2023,8,2
United Kingdom,72280,75126,0,2024,8,2
Mainland China,383622,323755,0,2024,7,2
France,26144,27348,1,2024,8,2
Mainland China,334891,299377,1,2024,6,2
Vietnam,102272,93846,0,2024,6,2
Thailand,234730,232385,1,2024,6,2
Philippines,142023,128194,2,2024,6,2
Malaysia,315011,292789,3,2024,6,2
Indonesia,316588,300657,3,2024,6,2
United Kingdom,60266,63181,0,2023,9,2
Germany,40113,44345,0,2023,6,2
Hong Kong,101093,92340,1,2024,6,2
France,22334,23407,0,2023,6,2
Hong Kong,78942,77530,1,2023,6,2
Mainland China,184935,170581,3,2023,6,2
Vietnam,111167,102865,0,2023,6,2
Thailand,214922,216895,2,2023,6,2
Philippines,134950,130594,2,2023,6,2
Malaysia,295806,284935,3,2023,6,2
Indonesia,319342,297064,4,2023,6,2
United Kingdom,60390,64978,0,2023,6,2
Japan,119020,112475,0,2023,6,2
Japan,145927,133177,0,2024,6,2
France,24058,24449,0,2024,6,2
Germany,39254,43656,0,2024,6,2
Japan,141052,144822,1,2024,8,2
Hong Kong,97783,109486,0,2024,8,2
Mainland China,363853,395409,0,2024,8,2
Vietnam,103303,95184,1,2024,8,2
Thailand,225976,229118,1,2024,8,2
Philippines,120640,116345,2,2024,8,2
Malaysia,313313,288558,1,2024,8,2
