Month,Year,Country,Arrivals
Jan,2025,Number Of Air Passenger Arrivals,3130805.0
Jan,2025,  South East Asia,1189806.0
Jan,2025,    Indonesia,319040.0
Jan,2025,    Malaysia,303021.0
Jan,2025,    Philippines,150016.0
Jan,2025,    Thailand,264939.0
Jan,2025,    Vietnam,101487.0
Jan,2025,  North East Asia,909162.0
Jan,2025,    Mainland China,405891.0
Jan,2025,    Hong Kong,121217.0
Jan,2025,    Japan,169542.0
Jan,2025,  South Asia,323436.0
Jan,2025,  Middle East,90750.0
Jan,2025,  Oceania,336005.0
Jan,2025,  Europe,212216.0
Jan,2025,    France,20593.0
Jan,2025,    Germany,42819.0
Jan,2025,    United Kingdom,68805.0
Jan,2025,  North America,58326.0
Jan,2025,  Other Regions,11104.0
Dec,2024,Number Of Air Passenger Arrivals,3218469.0
Dec,2024,  South East Asia,1244205.0
Dec,2024,    Indonesia,341960.0
Dec,2024,    Malaysia,337008.0
Dec,2024,    Philippines,123812.0
Dec,2024,    Thailand,279506.0
Dec,2024,    Vietnam,105848.0
Dec,2024,  North East Asia,878499.0
Dec,2024,    Mainland China,361183.0
Dec,2024,    Hong Kong,114321.0
Dec,2024,    Japan,183767.0
Dec,2024,  South Asia,315485.0
Dec,2024,  Middle East,105289.0
Dec,2024,  Oceania,375999.0
Dec,2024,  Europe,224638.0
Dec,2024,    France,22678.0
Dec,2024,    Germany,44055.0
Dec,2024,    United Kingdom,73704.0
Dec,2024,  North America,61766.0
Dec,2024,  Other Regions,12588.0
Nov,2024,Number Of Air Passenger Arrivals,2839182.0
Nov,2024,  South East Asia,1118406.0
Nov,2024,    Indonesia,296314.0
Nov,2024,    Malaysia,294907.0
Nov,2024,    Philippines,124727.0
Nov,2024,    Thailand,254727.0
Nov,2024,    Vietnam,98116.0
Nov,2024,  North East Asia,756248.0
Nov,2024,    Mainland China,303665.0
Nov,2024,    Hong Kong,104845.0
Nov,2024,    Japan,160275.0
Nov,2024,  South Asia,286854.0
Nov,2024,  Middle East,80880.0
Nov,2024,  Oceania,328357.0
Nov,2024,  Europe,202805.0
Nov,2024,    France,22629.0
Nov,2024,    Germany,40337.0
Nov,2024,    United Kingdom,62824.0
Nov,2024,  North America,56453.0
Nov,2024,  Other Regions,9179.0
Oct,2024,Number Of Air Passenger Arrivals,2757008.0
Oct,2024,  South East Asia,1078942.0
Oct,2024,    Indonesia,305697.0
Oct,2024,    Malaysia,294533.0
Oct,2024,    Philippines,117373.0
Oct,2024,    Thailand,227143.0
Oct,2024,    Vietnam,92505.0
Oct,2024,  North East Asia,741719.0
Oct,2024,    Mainland China,315351.0
Oct,2024,    Hong Kong,90911.0
Oct,2024,    Japan,157862.0
Oct,2024,  South Asia,258158.0
Oct,2024,  Middle East,85283.0
Oct,2024,  Oceania,288482.0
Oct,2024,  Europe,239259.0
Oct,2024,    France,28054.0
Oct,2024,    Germany,46925.0
Oct,2024,    United Kingdom,74168.0
Oct,2024,  North America,55393.0
Oct,2024,  Other Regions,9772.0
Sep,2024,Number Of Air Passenger Arrivals,2718654.0
Sep,2024,  South East Asia,1067025.0
Sep,2024,    Indonesia,309639.0
Sep,2024,    Malaysia,307150.0
Sep,2024,    Philippines,108697.0
Sep,2024,    Thailand,212885.0
Sep,2024,    Vietnam,89246.0
Sep,2024,  North East Asia,711663.0
Sep,2024,    Mainland China,319703.0
Sep,2024,    Hong Kong,94312.0
