Month,Year,Country,Departures,Arrivals,Total_Flow
Apr,1961,    Hong Kong,1489.0,1222.0,2711.0
Apr,1961,    Indonesia,1841.0,2107.0,3948.0
Apr,1961,    Japan,284.0,110.0,394.0
Apr,1961,    Philippines,233.0,439.0,672.0
Apr,1961,    Thailand,1836.0,1393.0,3229.0
Apr,1961,    United Kingdom,621.0,390.0,1011.0
Apr,1961,Number Of Air Passenger Arrivals,0.0,13159.0,13159.0
Apr,1961,Number Of Air Passenger Departures,13162.0,0.0,13162.0
Aug,1961,    Hong Kong,1235.0,1225.0,2460.0
Aug,1961,    Indonesia,1991.0,1857.0,3848.0
Aug,1961,    Japan,88.0,126.0,214.0
Aug,1961,    Philippines,296.0,313.0,609.0
Aug,1961,    Thailand,1293.0,1141.0,2434.0
Aug,1961,    United Kingdom,586.0,1099.0,1685.0
Aug,1961,Number Of Air Passenger Arrivals,0.0,13501.0,13501.0
Aug,1961,Number Of Air Passenger Departures,12959.0,0.0,12959.0
Dec,1961,    Hong Kong,1389.0,1335.0,2724.0
Dec,1961,    Indonesia,2091.0,2002.0,4093.0
Dec,1961,    Japan,168.0,227.0,395.0
Dec,1961,    Philippines,214.0,243.0,457.0
Dec,1961,    Thailand,1374.0,1602.0,2976.0
Dec,1961,    United Kingdom,491.0,733.0,1224.0
Dec,1961,Number Of Air Passenger Arrivals,0.0,14951.0,14951.0
Dec,1961,Number Of Air Passenger Departures,13463.0,0.0,13463.0
Feb,1961,    Hong Kong,1008.0,991.0,1999.0
Feb,1961,    Indonesia,1458.0,1671.0,3129.0
Feb,1961,    Japan,121.0,127.0,248.0
Feb,1961,    Philippines,141.0,139.0,280.0
Feb,1961,    Thailand,1083.0,1172.0,2255.0
Feb,1961,    United Kingdom,367.0,427.0,794.0
Feb,1961,Number Of Air Passenger Arrivals,0.0,11027.0,11027.0
Feb,1961,Number Of Air Passenger Departures,11060.0,0.0,11060.0
Jan,1961,    Hong Kong,881.0,941.0,1822.0
Jan,1961,    Indonesia,1878.0,1687.0,3565.0
Jan,1961,    Japan,71.0,104.0,175.0
Jan,1961,    Philippines,122.0,139.0,261.0
Jan,1961,    Thailand,919.0,1172.0,2091.0
Jan,1961,    United Kingdom,455.0,858.0,1313.0
Jan,1961,Number Of Air Passenger Arrivals,0.0,11814.0,11814.0
Jan,1961,Number Of Air Passenger Departures,11355.0,0.0,11355.0
Jul,1961,    Hong Kong,1112.0,1305.0,2417.0
Jul,1961,    Indonesia,1966.0,2098.0,4064.0
Jul,1961,    Japan,86.0,141.0,227.0
Jul,1961,    Philippines,144.0,249.0,393.0
Jul,1961,    Thailand,1470.0,1337.0,2807.0
Jul,1961,    United Kingdom,550.0,1594.0,2144.0
Jul,1961,Number Of Air Passenger Arrivals,0.0,13655.0,13655.0
Jul,1961,Number Of Air Passenger Departures,12350.0,0.0,12350.0
Jun,1961,    Hong Kong,1018.0,1240.0,2258.0
Jun,1961,    Indonesia,1517.0,1767.0,3284.0
Jun,1961,    Japan,94.0,154.0,248.0
Jun,1961,    Philippines,165.0,197.0,362.0
Jun,1961,    Thailand,1165.0,1065.0,2230.0
Jun,1961,    United Kingdom,535.0,720.0,1255.0
Jun,1961,Number Of Air Passenger Arrivals,0.0,11532.0,11532.0
Jun,1961,Number Of Air Passenger Departures,10897.0,0.0,10897.0
Mar,1961,    Hong Kong,1459.0,1074.0,2533.0
Mar,1961,    Indonesia,1671.0,1960.0,3631.0
Mar,1961,    Japan,88.0,150.0,238.0
Mar,1961,    Philippines,195.0,307.0,502.0
Mar,1961,    Thailand,1850.0,1414.0,3264.0
Mar,1961,    United Kingdom,441.0,425.0,866.0
Mar,1961,Number Of Air Passenger Arrivals,0.0,12703.0,12703.0
Mar,1961,Number Of Air Passenger Departures,12884.0,0.0,12884.0
May,1961,    Hong Kong,1261.0,1361.0,2622.0
May,1961,    Indonesia,1601.0,1707.0,3308.0
May,1961,    Japan,115.0,127.0,242.0
May,1961,    Philippines,257.0,390.0,647.0
May,1961,    Thailand,1619.0,1325.0,2944.0
May,1961,    United Kingdom,492.0,399.0,891.0
May,1961,Number Of Air Passenger Arrivals,0.0,12221.0,12221.0
May,1961,Number Of Air Passenger Departures,11895.0,0.0,11895.0
Nov,1961,    Hong Kong,1566.0,1477.0,3043.0
Nov,1961,    Indonesia,1838.0,1887.0,3725.0
Nov,1961,    Japan,158.0,189.0,347.0
Nov,1961,    Philippines,269.0,373.0,642.0
Nov,1961,    Thailand,1645.0,1718.0,3363.0
Nov,1961,    United Kingdom,442.0,454.0,896.0
Nov,1961,Number Of Air Passenger Arrivals,0.0,13505.0,13505.0
Nov,1961,Number Of Air Passenger Departures,13314.0,0.0,13314.0
Oct,1961,    Hong Kong,1436.0,1401.0,2837.0
Oct,1961,    Indonesia,1805.0,1953.0,3758.0
Oct,1961,    Japan,191.0,195.0,386.0
Oct,1961,    Philippines,306.0,374.0,680.0
Oct,1961,    Thailand,1681.0,1632.0,3313.0
Oct,1961,    United Kingdom,417.0,691.0,1108.0
Oct,1961,Number Of Air Passenger Arrivals,0.0,13619.0,13619.0
Oct,1961,Number Of Air Passenger Departures,13218.0,0.0,13218.0
Sep,1961,    Hong Kong,1447.0,1244.0,2691.0
Sep,1961,    Indonesia,1484.0,1808.0,3292.0
Sep,1961,    Japan,100.0,193.0,293.0
Sep,1961,    Philippines,177.0,221.0,398.0
Sep,1961,    Thailand,1333.0,1129.0,2462.0
Sep,1961,    United Kingdom,1570.0,872.0,2442.0
Sep,1961,Number Of Air Passenger Arrivals,0.0,12974.0,12974.0
Sep,1961,Number Of Air Passenger Departures,13202.0,0.0,13202.0
Apr,1962,    Hong Kong,1686.0,1611.0,3297.0
Apr,1962,    Indonesia,1943.0,2177.0,4120.0
Apr,1962,    Japan,285.0,306.0,591.0
Apr,1962,    Philippines,259.0,544.0,803.0
Apr,1962,    Thailand,2080.0,1457.0,3537.0
Apr,1962,    United Kingdom,627.0,359.0,986.0
Apr,1962,Number Of Air Passenger Arrivals,0.0,15300.0,15300.0
Apr,1962,Number Of Air Passenger Departures,14933.0,0.0,14933.0
Aug,1962,    Hong Kong,1596.0,1570.0,3166.0
Aug,1962,    Indonesia,2464.0,2053.0,4517.0
Aug,1962,    Japan,171.0,240.0,411.0
Aug,1962,    Philippines,345.0,297.0,642.0
Aug,1962,    Thailand,1506.0,1674.0,3180.0
Aug,1962,    United Kingdom,624.0,845.0,1469.0
Aug,1962,Number Of Air Passenger Arrivals,0.0,15403.0,15403.0
Aug,1962,Number Of Air Passenger Departures,14877.0,0.0,14877.0
Dec,1962,    Hong Kong,1670.0,1435.0,3105.0
Dec,1962,    Indonesia,1975.0,2283.0,4258.0
Dec,1962,    Japan,214.0,164.0,378.0
Dec,1962,    Philippines,232.0,224.0,456.0
Dec,1962,    Thailand,1732.0,1728.0,3460.0
Dec,1962,    United Kingdom,505.0,781.0,1286.0
Dec,1962,Number Of Air Passenger Arrivals,0.0,16798.0,16798.0
Dec,1962,Number Of Air Passenger Departures,15528.0,0.0,15528.0
Feb,1962,    Hong Kong,954.0,884.0,1838.0
Feb,1962,    Indonesia,1553.0,1638.0,3191.0
Feb,1962,    Japan,108.0,160.0,268.0
Feb,1962,    Philippines,190.0,319.0,509.0
Feb,1962,    Thailand,1422.0,1197.0,2619.0
Feb,1962,    United Kingdom,349.0,350.0,699.0
Feb,1962,Number Of Air Passenger Arrivals,0.0,12196.0,12196.0
Feb,1962,Number Of Air Passenger Departures,12432.0,0.0,12432.0
