Month,Year,Country,Departures,Arrivals
Jan,2025,  South East Asia,1146441.0,1189806.0
Jan,2025,    Indonesia,330478.0,319040.0
Jan,2025,    Malaysia,286238.0,303021.0
Jan,2025,    Philippines,129892.0,150016.0
Jan,2025,    Thailand,246544.0,264939.0
Jan,2025,    Vietnam,101187.0,101487.0
Jan,2025,  North East Asia,753224.0,909162.0
Jan,2025,    Mainland China,318358.0,405891.0
Jan,2025,    Hong Kong,103194.0,121217.0
Jan,2025,    Japan,167246.0,169542.0
Jan,2025,  South Asia,312496.0,323436.0
Jan,2025,  Middle East,100470.0,90750.0
Jan,2025,  Oceania,374992.0,336005.0
Jan,2025,  Europe,207803.0,212216.0
Jan,2025,    France,18719.0,20593.0
Jan,2025,    Germany,41570.0,42819.0
Jan,2025,    United Kingdom,66540.0,68805.0
Jan,2025,  North America,63927.0,58326.0
Jan,2025,  Other Regions,11733.0,11104.0
Dec,2024,  South East Asia,1248739.0,1244205.0
Dec,2024,    Indonesia,311140.0,341960.0
Dec,2024,    Malaysia,323182.0,337008.0
Dec,2024,    Philippines,155269.0,123812.0
Dec,2024,    Thailand,294105.0,279506.0
Dec,2024,    Vietnam,110293.0,105848.0
Dec,2024,  North East Asia,888607.0,878499.0
Dec,2024,    Mainland China,370922.0,361183.0
Dec,2024,    Hong Kong,117393.0,114321.0
Dec,2024,    Japan,184868.0,183767.0
Dec,2024,  South Asia,331296.0,315485.0
Dec,2024,  Middle East,96868.0,105289.0
Dec,2024,  Oceania,312061.0,375999.0
Dec,2024,  Europe,198377.0,224638.0
Dec,2024,    France,20721.0,22678.0
Dec,2024,    Germany,37640.0,44055.0
Dec,2024,    United Kingdom,64337.0,73704.0
Dec,2024,  North America,57008.0,61766.0
Dec,2024,  Other Regions,11768.0,12588.0
Nov,2024,  South East Asia,1107967.0,1118406.0
Nov,2024,    Indonesia,279388.0,296314.0
Nov,2024,    Malaysia,283893.0,294907.0
Nov,2024,    Philippines,132282.0,124727.0
Nov,2024,    Thailand,262393.0,254727.0
Nov,2024,    Vietnam,99247.0,98116.0
Nov,2024,  North East Asia,773612.0,756248.0
Nov,2024,    Mainland China,310214.0,303665.0
Nov,2024,    Hong Kong,108816.0,104845.0
Nov,2024,    Japan,164753.0,160275.0
Nov,2024,  South Asia,306921.0,286854.0
Nov,2024,  Middle East,88631.0,80880.0
Nov,2024,  Oceania,317054.0,328357.0
Nov,2024,  Europe,200530.0,202805.0
Nov,2024,    France,23038.0,22629.0
Nov,2024,    Germany,40496.0,40337.0
Nov,2024,    United Kingdom,62678.0,62824.0
Nov,2024,  North America,51302.0,56453.0
Nov,2024,  Other Regions,9863.0,9179.0
Oct,2024,  South East Asia,1067698.0,1078942.0
Oct,2024,    Indonesia,296812.0,305697.0
Oct,2024,    Malaysia,277645.0,294533.0
Oct,2024,    Philippines,112951.0,117373.0
Oct,2024,    Thailand,240145.0,227143.0
Oct,2024,    Vietnam,94470.0,92505.0
Oct,2024,  North East Asia,820133.0,741719.0
Oct,2024,    Mainland China,354325.0,315351.0
Oct,2024,    Hong Kong,110736.0,90911.0
Oct,2024,    Japan,166854.0,157862.0
Oct,2024,  South Asia,289283.0,258158.0
Oct,2024,  Middle East,75730.0,85283.0
Oct,2024,  Oceania,332182.0,288482.0
Oct,2024,  Europe,195585.0,239259.0
Oct,2024,    France,24341.0,28054.0
Oct,2024,    Germany,38493.0,46925.0
Oct,2024,    United Kingdom,56957.0,74168.0
Oct,2024,  North America,49797.0,55393.0
Oct,2024,  Other Regions,9620.0,9772.0
Sep,2024,  South East Asia,1002060.0,1067025.0
Sep,2024,    Indonesia,291753.0,309639.0
Sep,2024,    Malaysia,278352.0,307150.0
Sep,2024,    Philippines,106058.0,108697.0
Sep,2024,    Thailand,201734.0,212885.0
Sep,2024,    Vietnam,88180.0,89246.0
Sep,2024,  North East Asia,691253.0,711663.0
Sep,2024,    Mainland China,294733.0,319703.0
Sep,2024,    Hong Kong,87019.0,94312.0
Sep,2024,    Japan,148473.0,136102.0
Sep,2024,  South Asia,247842.0,264963.0
Sep,2024,  Middle East,88686.0,81600.0
Sep,2024,  Oceania,301732.0,309643.0
Sep,2024,  Europe,228307.0,222514.0
Sep,2024,    France,45284.0,43965.0
Sep,2024,    Germany,25717.0,25495.0
Sep,2024,    United Kingdom,73713.0,71966.0
Sep,2024,  North America,54726.0,51442.0
Sep,2024,  Other Regions,9671.0,9804.0
Aug,2024,  South East Asia,1076139.0,1129553.0
Aug,2024,    Indonesia,303902.0,321967.0
Aug,2024,    Malaysia,288558.0,313313.0
Aug,2024,    Philippines,116345.0,120640.0
Aug,2024,    Thailand,229118.0,225976.0
Aug,2024,    Vietnam,95184.0,103303.0
Aug,2024,  North East Asia,824676.0,757520.0
Aug,2024,    Mainland China,395409.0,363853.0
Aug,2024,    Hong Kong,109486.0,97783.0
Aug,2024,    Japan,144822.0,141052.0
Aug,2024,  South Asia,253932.0,275101.0
Aug,2024,  Middle East,95795.0,78563.0
Aug,2024,  Oceania,287680.0,291909.0
Aug,2024,  Europe,238392.0,224129.0
Aug,2024,    France,27348.0,26144.0
Aug,2024,    Germany,47506.0,43692.0
Aug,2024,    United Kingdom,75126.0,72280.0
Aug,2024,  North America,64499.0,53285.0
Aug,2024,  Other Regions,10442.0,10587.0
Jul,2024,  South East Asia,1123805.0,1150805.0
Jul,2024,    Indonesia,335010.0,315797.0
Jul,2024,    Malaysia,290725.0,314827.0
Jul,2024,    Philippines,132825.0,129017.0
Jul,2024,    Thailand,225958.0,237235.0
Jul,2024,    Vietnam,95446.0,106354.0
Jul,2024,  North East Asia,684218.0,800012.0
Jul,2024,    Mainland China,323755.0,383622.0
Jul,2024,    Hong Kong,91851.0,105586.0
Jul,2024,    Japan,117217.0,138181.0
Jul,2024,  South Asia,248327.0,270467.0
Jul,2024,  Middle East,74361.0,94572.0
Jul,2024,  Oceania,319869.0,281434.0
Jul,2024,  Europe,215708.0,238398.0
Jul,2024,    France,24399.0,26993.0
Jul,2024,    Germany,40835.0,47057.0
Jul,2024,    United Kingdom,70806.0,76223.0
Jul,2024,  North America,63681.0,59560.0
Jul,2024,  Other Regions,10357.0,9807.0
Jun,2024,  South East Asia,1090491.0,1157174.0
Jun,2024,    Indonesia,300657.0,316588.0
Jun,2024,    Malaysia,292789.0,315011.0
Jun,2024,    Philippines,128194.0,142023.0
Jun,2024,    Thailand,232385.0,234730.0
Jun,2024,    Vietnam,93846.0,102272.0
Jun,2024,  North East Asia,689916.0,768707.0
Jun,2024,    Mainland China,299377.0,334891.0
Jun,2024,    Hong Kong,92340.0,101093.0
Jun,2024,    Japan,133177.0,145927.0
Jun,2024,  South Asia,284985.0,279834.0
Jun,2024,  Middle East,75153.0,79260.0
Jun,2024,  Oceania,274110.0,307654.0
Jun,2024,  Europe,214354.0,205921.0
Jun,2024,    France,24449.0,24058.0
Jun,2024,    Germany,43656.0,39254.0
Jun,2024,    United Kingdom,67316.0,65066.0
Jun,2024,  North America,60034.0,63125.0
Jun,2024,  Other Regions,8911.0,9313.0
May,2024,  South East Asia,1070791.0,1092938.0
May,2024,    Indonesia,304347.0,315076.0
May,2024,    Malaysia,280455.0,292170.0
May,2024,    Philippines,125442.0,121360.0
May,2024,    Thailand,224744.0,222001.0
May,2024,    Vietnam,94314.0,96072.0
May,2024,  North East Asia,748136.0,683118.0
May,2024,    Mainland China,327809.0,284250.0
May,2024,    Hong Kong,92920.0,83052.0
May,2024,    Japan,149748.0,140060.0
May,2024,  South Asia,290573.0,310967.0
May,2024,  Middle East,74676.0,65409.0
May,2024,  Oceania,271878.0,284377.0
May,2024,  Europe,223693.0,183255.0
May,2024,    France,26116.0,22187.0
May,2024,    Germany,47182.0,37376.0
May,2024,    United Kingdom,70077.0,54799.0
May,2024,  North America,57356.0,59796.0
May,2024,  Other Regions,9352.0,8943.0
Apr,2024,  South East Asia,1039785.0,1101447.0
Apr,2024,    Indonesia,305947.0,304889.0
Apr,2024,    Malaysia,256967.0,292736.0
Apr,2024,    Philippines,119414.0,116665.0
Apr,2024,    Thailand,224240.0,235029.0
Apr,2024,    Vietnam,88687.0,100406.0
Apr,2024,  North East Asia,688797.0,742647.0
Apr,2024,    Mainland China,283889.0,307829.0
Apr,2024,    Hong Kong,94171.0,95685.0
Apr,2024,    Japan,134794.0,149604.0
Apr,2024,  South Asia,254262.0,301695.0
Apr,2024,  Middle East,75063.0,64919.0
Apr,2024,  Oceania,278029.0,281650.0
Apr,2024,  Europe,224894.0,183036.0
Apr,2024,    France,26768.0,24537.0
Apr,2024,    Germany,47381.0,38283.0
Apr,2024,    United Kingdom,70156.0,51949.0
Apr,2024,  North America,55518.0,48064.0
Apr,2024,  Other Regions,9156.0,9120.0
Mar,2024,  South East Asia,1147127.0,1162692.0
Mar,2024,    Indonesia,297830.0,295673.0
