Month,Year,Country,Departures
Jan,2025,Number Of Air Passenger Departures,2971086.0
Jan,2025,  South East Asia,1146441.0
Jan,2025,    Indonesia,330478.0
Jan,2025,    Malaysia,286238.0
Jan,2025,    Philippines,129892.0
Jan,2025,    Thailand,246544.0
Jan,2025,    Vietnam,101187.0
Jan,2025,  North East Asia,753224.0
Jan,2025,    Mainland China,318358.0
Jan,2025,    Hong Kong,103194.0
Jan,2025,    Japan,167246.0
Jan,2025,  South Asia,312496.0
Jan,2025,  Middle East,100470.0
Jan,2025,  Oceania,374992.0
Jan,2025,  Europe,207803.0
Jan,2025,    France,18719.0
Jan,2025,    Germany,41570.0
Jan,2025,    United Kingdom,66540.0
Jan,2025,  North America,63927.0
Jan,2025,  Other Regions,11733.0
Dec,2024,Number Of Air Passenger Departures,3144724.0
Dec,2024,  South East Asia,1248739.0
Dec,2024,    Indonesia,311140.0
Dec,2024,    Malaysia,323182.0
Dec,2024,    Philippines,155269.0
Dec,2024,    Thailand,294105.0
Dec,2024,    Vietnam,110293.0
Dec,2024,  North East Asia,888607.0
Dec,2024,    Mainland China,370922.0
Dec,2024,    Hong Kong,117393.0
Dec,2024,    Japan,184868.0
Dec,2024,  South Asia,331296.0
Dec,2024,  Middle East,96868.0
Dec,2024,  Oceania,312061.0
Dec,2024,  Europe,198377.0
Dec,2024,    France,20721.0
Dec,2024,    Germany,37640.0
Dec,2024,    United Kingdom,64337.0
Dec,2024,  North America,57008.0
Dec,2024,  Other Regions,11768.0
Nov,2024,Number Of Air Passenger Departures,2855880.0
Nov,2024,  South East Asia,1107967.0
Nov,2024,    Indonesia,279388.0
Nov,2024,    Malaysia,283893.0
Nov,2024,    Philippines,132282.0
Nov,2024,    Thailand,262393.0
Nov,2024,    Vietnam,99247.0
Nov,2024,  North East Asia,773612.0
Nov,2024,    Mainland China,310214.0
Nov,2024,    Hong Kong,108816.0
Nov,2024,    Japan,164753.0
Nov,2024,  South Asia,306921.0
Nov,2024,  Middle East,88631.0
Nov,2024,  Oceania,317054.0
Nov,2024,  Europe,200530.0
Nov,2024,    France,23038.0
Nov,2024,    Germany,40496.0
Nov,2024,    United Kingdom,62678.0
Nov,2024,  North America,51302.0
Nov,2024,  Other Regions,9863.0
Oct,2024,Number Of Air Passenger Departures,2840028.0
Oct,2024,  South East Asia,1067698.0
Oct,2024,    Indonesia,296812.0
Oct,2024,    Malaysia,277645.0
Oct,2024,    Philippines,112951.0
Oct,2024,    Thailand,240145.0
Oct,2024,    Vietnam,94470.0
Oct,2024,  North East Asia,820133.0
Oct,2024,    Mainland China,354325.0
Oct,2024,    Hong Kong,110736.0
Oct,2024,    Japan,166854.0
Oct,2024,  South Asia,289283.0
Oct,2024,  Middle East,75730.0
Oct,2024,  Oceania,332182.0
Oct,2024,  Europe,195585.0
Oct,2024,    France,24341.0
Oct,2024,    Germany,38493.0
Oct,2024,    United Kingdom,56957.0
Oct,2024,  North America,49797.0
Oct,2024,  Other Regions,9620.0
Sep,2024,Number Of Air Passenger Departures,2624277.0
Sep,2024,  South East Asia,1002060.0
Sep,2024,    Indonesia,291753.0
Sep,2024,    Malaysia,278352.0
Sep,2024,    Philippines,106058.0
Sep,2024,    Thailand,201734.0
Sep,2024,    Vietnam,88180.0
Sep,2024,  North East Asia,691253.0
Sep,2024,    Mainland China,294733.0
Sep,2024,    Hong Kong,87019.0
Sep,2024,    Japan,148473.0
Sep,2024,  South Asia,247842.0
Sep,2024,  Middle East,88686.0
Sep,2024,  Oceania,301732.0
Sep,2024,  Europe,228307.0
Sep,2024,    France,45284.0
Sep,2024,    Germany,25717.0
Sep,2024,    United Kingdom,73713.0
Sep,2024,  North America,54726.0
Sep,2024,  Other Regions,9671.0
Aug,2024,Number Of Air Passenger Departures,2851555.0
Aug,2024,  South East Asia,1076139.0
Aug,2024,    Indonesia,303902.0
Aug,2024,    Malaysia,288558.0
Aug,2024,    Philippines,116345.0
Aug,2024,    Thailand,229118.0
Aug,2024,    Vietnam,95184.0
Aug,2024,  North East Asia,824676.0
Aug,2024,    Mainland China,395409.0
Aug,2024,    Hong Kong,109486.0
Aug,2024,    Japan,144822.0
Aug,2024,  South Asia,253932.0
Aug,2024,  Middle East,95795.0
Aug,2024,  Oceania,287680.0
Aug,2024,  Europe,238392.0
Aug,2024,    France,27348.0
Aug,2024,    Germany,47506.0
Aug,2024,    United Kingdom,75126.0
Aug,2024,  North America,64499.0
Aug,2024,  Other Regions,10442.0
Jul,2024,Number Of Air Passenger Departures,2740326.0
Jul,2024,  South East Asia,1123805.0
Jul,2024,    Indonesia,335010.0
Jul,2024,    Malaysia,290725.0
Jul,2024,    Philippines,132825.0
Jul,2024,    Thailand,225958.0
Jul,2024,    Vietnam,95446.0
Jul,2024,  North East Asia,684218.0
Jul,2024,    Mainland China,323755.0
Jul,2024,    Hong Kong,91851.0
Jul,2024,    Japan,117217.0
Jul,2024,  South Asia,248327.0
Jul,2024,  Middle East,74361.0
Jul,2024,  Oceania,319869.0
Jul,2024,  Europe,215708.0
Jul,2024,    France,24399.0
Jul,2024,    Germany,40835.0
Jul,2024,    United Kingdom,70806.0
Jul,2024,  North America,63681.0
Jul,2024,  Other Regions,10357.0
Jun,2024,Number Of Air Passenger Departures,2697954.0
Jun,2024,  South East Asia,1090491.0
Jun,2024,    Indonesia,300657.0
Jun,2024,    Malaysia,292789.0
Jun,2024,    Philippines,128194.0
Jun,2024,    Thailand,232385.0
Jun,2024,    Vietnam,93846.0
Jun,2024,  North East Asia,689916.0
Jun,2024,    Mainland China,299377.0
Jun,2024,    Hong Kong,92340.0
Jun,2024,    Japan,133177.0
Jun,2024,  South Asia,284985.0
Jun,2024,  Middle East,75153.0
Jun,2024,  Oceania,274110.0
Jun,2024,  Europe,214354.0
Jun,2024,    France,24449.0
Jun,2024,    Germany,43656.0
Jun,2024,    United Kingdom,67316.0
Jun,2024,  North America,60034.0
Jun,2024,  Other Regions,8911.0
May,2024,Number Of Air Passenger Departures,2746455.0
May,2024,  South East Asia,1070791.0
May,2024,    Indonesia,304347.0
May,2024,    Malaysia,280455.0
May,2024,    Philippines,125442.0
May,2024,    Thailand,224744.0
May,2024,    Vietnam,94314.0
