Month,Year,Country,Departures,Arrivals
Jan,2000,North America,29012.0,26225.0
Aug,2000,Vietnam,12226.0,17764.0
Aug,2000,Thailand,95766.0,105648.0
Aug,2000,Philippines,28301.0,29637.0
Aug,2000,Malaysia,130507.0,145755.0
Aug,2000,Indonesia,124900.0,127648.0
Aug,2000,South East Asia,408229.0,444483.0
Sep,2000,North America,29175.0,25519.0
Sep,2000,United Kingdom,60006.0,60317.0
Sep,2000,Germany,28576.0,27937.0
Sep,2000,France,12409.0,11463.0
Sep,2000,Europe,147940.0,147065.0
Sep,2000,Oceania,148813.0,138492.0
Sep,2000,Middle East,12547.0,10424.0
Sep,2000,South Asia,75674.0,76262.0
Sep,2000,Japan,99438.0,92951.0
Sep,2000,Hong Kong,74277.0,82193.0
Sep,2000,Mainland China,52333.0,56587.0
Sep,2000,North East Asia,283759.0,286654.0
Sep,2000,Vietnam,11490.0,13125.0
Sep,2000,Thailand,97160.0,103536.0
Sep,2000,Philippines,27437.0,28194.0
Sep,2000,Malaysia,133081.0,136372.0
Sep,2000,Indonesia,124164.0,126821.0
Aug,2000,North East Asia,329249.0,293458.0
Sep,2000,South East Asia,409103.0,423607.0
Aug,2000,Mainland China,45382.0,38873.0
Aug,2000,Japan,108413.0,105872.0
Jul,2000,France,11873.0,13596.0
Jul,2000,Europe,139439.0,157857.0
Jul,2000,Oceania,164431.0,132148.0
Jul,2000,Middle East,12406.0,19642.0
Jul,2000,South Asia,76434.0,80554.0
Jul,2000,Japan,91056.0,99791.0
Jul,2000,Hong Kong,79366.0,87920.0
Jul,2000,Mainland China,33053.0,41720.0
Jul,2000,North East Asia,273824.0,303750.0
Jul,2000,Vietnam,15005.0,16357.0
Jul,2000,Thailand,95897.0,112293.0
Jul,2000,Philippines,29850.0,29272.0
Jul,2000,Malaysia,133453.0,138135.0
Jul,2000,Indonesia,148364.0,130962.0
Jul,2000,South East Asia,439180.0,443508.0
Aug,2000,North America,32601.0,23906.0
Aug,2000,United Kingdom,60700.0,59691.0
Aug,2000,Germany,28764.0,27917.0
Aug,2000,France,13067.0,12145.0
Aug,2000,Europe,148893.0,143390.0
Aug,2000,Oceania,136319.0,143561.0
Aug,2000,Middle East,19363.0,14889.0
Aug,2000,South Asia,74146.0,80694.0
Aug,2000,Hong Kong,97926.0,84901.0
Oct,2000,North America,26816.0,29108.0
Oct,2000,United Kingdom,48898.0,69349.0
Oct,2000,Germany,25077.0,30549.0
Nov,2000,Thailand,117360.0,119924.0
Nov,2000,Philippines,30280.0,26806.0
Nov,2000,Malaysia,132435.0,141943.0
Nov,2000,Indonesia,128657.0,114142.0
Nov,2000,South East Asia,440661.0,433948.0
Dec,2000,North America,33753.0,33699.0
Dec,2000,United Kingdom,53100.0,68296.0
Dec,2000,Germany,22220.0,24673.0
Dec,2000,France,11559.0,12285.0
Dec,2000,Europe,126189.0,142190.0
Dec,2000,Oceania,180939.0,191622.0
Dec,2000,Middle East,11538.0,16024.0
Dec,2000,South Asia,92860.0,83159.0
Dec,2000,Japan,84459.0,98011.0
Dec,2000,Hong Kong,91392.0,99420.0
Dec,2000,Mainland China,55686.0,60253.0
Dec,2000,North East Asia,299980.0,321552.0
Dec,2000,Vietnam,16371.0,13157.0
Dec,2000,Thailand,125506.0,133773.0
Dec,2000,Philippines,37819.0,25279.0
Dec,2000,Malaysia,137916.0,146896.0
Dec,2000,Indonesia,112382.0,128598.0
Dec,2000,South East Asia,449540.0,469931.0
Nov,2000,Vietnam,13747.0,12887.0
Nov,2000,North East Asia,288166.0,275317.0
Nov,2000,Mainland China,52636.0,50383.0
Nov,2000,Hong Kong,82579.0,80740.0
